epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.797,3.55271,5.19286,4.13982,0.01352,0.00414,0.00191,0.00068,3.48337,5.13172,3.96899,0.0701107,0.00332103,0.00332103
2,229.906,2.82555,3.44664,3.15794,0.63074,0.01295,0.00961,0.0039,2.9179,4.64518,3.30288,0.0400887,0.00663241,0.00663241
3,342.871,2.11015,2.28841,2.21383,0.48608,0.04395,0.04033,0.02213,2.28894,3.3841,2.47124,0.0100448,0.00992178,0.00992178
4,454.707,1.73901,1.79953,1.84764,0.38883,0.11342,0.12121,0.06408,1.98531,2.3456,2.03449,0.009901,0.009901,0.009901
5,567.677,1.48618,1.4264,1.60643,0.27824,0.16271,0.16749,0.09585,1.6753,1.91556,1.74546,0.009868,0.009868,0.009868
6,679.373,1.31359,1.22245,1.45537,0.45617,0.14344,0.15326,0.08923,1.63469,1.95728,1.72674,0.009835,0.009835,0.009835
7,792.162,1.1901,1.06875,1.35403,0.39149,0.10567,0.09891,0.05607,1.92123,2.48239,1.95445,0.009802,0.009802,0.009802
8,904.531,1.12714,0.97802,1.30042,0.48576,0.16737,0.18392,0.11124,1.47178,1.61496,1.57969,0.009769,0.009769,0.009769
9,1017.64,1.05026,0.88641,1.2383,0.54512,0.20668,0.23092,0.14395,1.34776,1.33976,1.46406,0.009736,0.009736,0.009736
10,1130.07,1.00821,0.83636,1.21433,0.49192,0.20032,0.20514,0.12667,1.41953,1.55311,1.51297,0.009703,0.009703,0.009703
11,1243.05,0.95353,0.78201,1.17392,0.67624,0.22559,0.21538,0.13144,1.40002,1.44783,1.50806,0.00967,0.00967,0.00967
12,1354.96,0.92285,0.74657,1.1585,0.75722,0.22132,0.24935,0.15894,1.30728,1.2995,1.43528,0.009637,0.009637,0.009637
13,1468.05,0.89596,0.71818,1.14195,0.69131,0.22698,0.22492,0.14142,1.34481,1.33054,1.45184,0.009604,0.009604,0.009604
14,1579.53,0.86702,0.69367,1.12124,0.69273,0.24735,0.24385,0.15732,1.27519,1.28297,1.41236,0.009571,0.009571,0.009571
15,1691.97,0.84154,0.65969,1.10006,0.71226,0.268,0.27789,0.17813,1.24392,1.15961,1.37769,0.009538,0.009538,0.009538
16,1803.51,0.82417,0.64124,1.08672,0.74548,0.25692,0.26565,0.16792,1.25254,1.22526,1.375,0.009505,0.009505,0.009505
17,1916.38,0.79008,0.61284,1.07307,0.55728,0.27432,0.28742,0.18777,1.16802,1.05901,1.32989,0.009472,0.009472,0.009472
18,2028.31,0.77975,0.60499,1.06532,0.73466,0.26354,0.27139,0.1716,1.21017,1.1906,1.34003,0.009439,0.009439,0.009439
19,2140.84,0.75863,0.58578,1.04771,0.78929,0.26924,0.30589,0.1995,1.15909,1.04327,1.30825,0.009406,0.009406,0.009406
20,2252.37,0.73999,0.57305,1.04099,0.77456,0.27551,0.30238,0.19641,1.18726,1.06893,1.32653,0.009373,0.009373,0.009373
21,2365.02,0.72829,0.55587,1.03193,0.77088,0.30149,0.33254,0.21741,1.13064,0.96768,1.28722,0.00934,0.00934,0.00934
22,2476.83,0.72546,0.55648,1.03527,0.73507,0.29469,0.34587,0.22961,1.10025,0.93809,1.2658,0.009307,0.009307,0.009307
23,2589.49,0.7156,0.55059,1.02849,0.6544,0.29692,0.31894,0.20532,1.15949,1.02471,1.30024,0.009274,0.009274,0.009274
24,2701.09,0.70261,0.53015,1.01835,0.71911,0.32308,0.35122,0.23005,1.09788,0.93761,1.25472,0.009241,0.009241,0.009241
25,2813.87,0.68905,0.52077,1.00907,0.72819,0.30793,0.35236,0.22951,1.10687,0.94265,1.2673,0.009208,0.009208,0.009208
26,2925.61,0.67943,0.51848,1.00768,0.40406,0.30466,0.32169,0.21297,1.12265,0.99895,1.2739,0.009175,0.009175,0.009175
27,3038.47,0.66968,0.50886,1.00076,0.67951,0.31882,0.35889,0.23688,1.07741,0.92556,1.25214,0.009142,0.009142,0.009142
28,3150.35,0.66078,0.50044,0.99411,0.47384,0.29235,0.32161,0.20583,1.13207,1.01399,1.28551,0.009109,0.009109,0.009109
29,3262.95,0.65251,0.49335,0.99091,0.67066,0.32662,0.35909,0.23626,1.07335,0.90107,1.24573,0.009076,0.009076,0.009076
30,3374.56,0.65819,0.49307,0.99543,0.64411,0.33759,0.3653,0.24409,1.05147,0.88892,1.23409,0.009043,0.009043,0.009043
31,3487.23,0.63896,0.48518,0.98463,0.6777,0.33882,0.36707,0.24204,1.05435,0.87863,1.2273,0.00901,0.00901,0.00901
32,3598.92,0.63209,0.47587,0.98201,0.45351,0.31832,0.34265,0.22224,1.12705,0.94768,1.27935,0.008977,0.008977,0.008977
33,3711.79,0.62801,0.47484,0.98138,0.62238,0.35765,0.37474,0.24767,1.04745,0.85383,1.22023,0.008944,0.008944,0.008944
34,3823.42,0.61973,0.48074,0.97153,0.66524,0.35454,0.38045,0.25388,1.04706,0.85088,1.22389,0.008911,0.008911,0.008911
35,3936.01,0.61495,0.45909,0.97224,0.70198,0.33327,0.37063,0.2468,1.05859,0.88117,1.23377,0.008878,0.008878,0.008878
36,4047.7,0.60975,0.46507,0.97198,0.70672,0.33197,0.37938,0.25483,1.04582,0.84677,1.21356,0.008845,0.008845,0.008845
37,4160.34,0.59648,0.44866,0.95864,0.49367,0.345,0.38783,0.26155,1.02644,0.82719,1.20125,0.008812,0.008812,0.008812
38,4272.06,0.59183,0.4579,0.9543,0.44539,0.3749,0.39335,0.26466,1.02336,0.8157,1.20298,0.008779,0.008779,0.008779
39,4384.93,0.58535,0.44498,0.95588,0.75291,0.33555,0.39626,0.26458,1.04184,0.8294,1.21626,0.008746,0.008746,0.008746
40,4496.57,0.58918,0.4448,0.9593,0.46849,0.362,0.39933,0.26395,1.03144,0.81863,1.21075,0.008713,0.008713,0.008713
41,4609.11,0.58002,0.43976,0.95097,0.72716,0.35188,0.41046,0.2739,1.01679,0.80588,1.19964,0.00868,0.00868,0.00868
42,4721.05,0.57376,0.43128,0.94867,0.80832,0.33473,0.40777,0.26906,1.02207,0.80241,1.20442,0.008647,0.008647,0.008647
43,4834.03,0.56714,0.42232,0.94397,0.53848,0.37799,0.40529,0.27038,1.01008,0.78932,1.1964,0.008614,0.008614,0.008614
44,4945.75,0.56659,0.44595,0.94492,0.73409,0.37596,0.40709,0.27355,1.0022,0.79021,1.18605,0.008581,0.008581,0.008581
45,5058.38,0.56292,0.42451,0.94517,0.48437,0.37819,0.41005,0.27495,1.00956,0.79177,1.19311,0.008548,0.008548,0.008548
46,5169.83,0.55567,0.41712,0.93921,0.71841,0.36527,0.41085,0.27588,1.00763,0.79309,1.19335,0.008515,0.008515,0.008515
