epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.839,3.65958,5.34647,4.09243,0.00051,0.01787,0.00027,8e-05,3.6384,5.47812,4.00528,0.0701107,0.00332103,0.00332103
2,228.36,3.39305,4.17557,3.54074,0.60463,0.01461,0.00157,0.00045,3.13831,4.50792,3.18138,0.0400887,0.00663241,0.00663241
3,340.957,2.31569,2.55294,2.40179,0.33788,0.06447,0.07449,0.04191,2.15389,2.75401,2.20184,0.0100448,0.00992178,0.00992178
4,452.385,1.79112,1.82101,1.87075,0.3594,0.11422,0.11645,0.06382,1.87836,2.27271,1.92423,0.009901,0.009901,0.009901
5,564.753,1.49768,1.41924,1.61278,0.61391,0.13692,0.15439,0.08908,1.64456,1.85815,1.71634,0.009868,0.009868,0.009868
6,676.058,1.31883,1.19336,1.44492,0.42513,0.15414,0.17576,0.10416,1.55904,1.71918,1.62383,0.009835,0.009835,0.009835
7,788.225,1.1884,1.04267,1.35072,0.44431,0.18221,0.20217,0.11811,1.52096,1.51418,1.57978,0.009802,0.009802,0.009802
8,899.412,1.12174,0.96535,1.29615,0.65473,0.1844,0.21233,0.12922,1.42821,1.44733,1.50415,0.009769,0.009769,0.009769
9,1011.48,1.04593,0.87829,1.23717,0.68172,0.21161,0.22218,0.13768,1.39353,1.37666,1.4776,0.009736,0.009736,0.009736
10,1122.86,0.99329,0.81669,1.1966,0.75427,0.20909,0.24509,0.15391,1.33115,1.28768,1.43277,0.009703,0.009703,0.009703
11,1234.91,0.95141,0.77088,1.16866,0.76567,0.22143,0.24914,0.15587,1.34101,1.31237,1.42419,0.00967,0.00967,0.00967
12,1346.14,0.90909,0.73121,1.13924,0.80488,0.2312,0.26255,0.16663,1.28859,1.20957,1.39704,0.009637,0.009637,0.009637
13,1458.21,0.87927,0.70519,1.12122,0.71191,0.24639,0.26247,0.16684,1.28536,1.19954,1.38808,0.009604,0.009604,0.009604
14,1569.32,0.85623,0.67737,1.10488,0.53253,0.26235,0.27234,0.17257,1.24694,1.15331,1.36601,0.009571,0.009571,0.009571
15,1681.45,0.8285,0.6484,1.08532,0.77443,0.26061,0.28424,0.1799,1.24082,1.12853,1.34823,0.009538,0.009538,0.009538
16,1792.5,0.80725,0.62675,1.06521,0.79722,0.27725,0.3048,0.1899,1.22611,1.08236,1.33023,0.009505,0.009505,0.009505
17,1904.64,0.77638,0.60412,1.0547,0.77715,0.27604,0.30501,0.19462,1.20231,1.06002,1.32636,0.009472,0.009472,0.009472
18,2015.73,0.76853,0.6026,1.052,0.7936,0.28,0.31302,0.19981,1.17999,1.029,1.30513,0.009439,0.009439,0.009439
19,2127.81,0.74743,0.57893,1.03383,0.8273,0.26928,0.30985,0.19935,1.17531,1.04193,1.30417,0.009406,0.009406,0.009406
20,2238.91,0.72508,0.56413,1.0243,0.83714,0.26003,0.3016,0.19523,1.19984,1.04886,1.31256,0.009373,0.009373,0.009373
21,2351.06,0.72088,0.5561,1.0199,0.58335,0.29056,0.32309,0.2108,1.1499,0.99135,1.28511,0.00934,0.00934,0.00934
22,2462.24,0.7176,0.55398,1.01803,0.78233,0.30189,0.33641,0.21578,1.14519,0.95668,1.2803,0.009307,0.009307,0.009307
23,2574.26,0.70906,0.5449,1.01675,0.49984,0.29725,0.32902,0.21543,1.15083,0.96994,1.27576,0.009274,0.009274,0.009274
24,2685.25,0.68393,0.5258,1.00113,0.48832,0.32261,0.34186,0.22262,1.12947,0.95709,1.27344,0.009241,0.009241,0.009241
25,2797.47,0.66963,0.51235,0.98833,0.63009,0.30751,0.32562,0.21129,1.13892,0.98476,1.26754,0.009208,0.009208,0.009208
26,2908.62,0.66211,0.5079,0.98909,0.57414,0.29275,0.34375,0.22294,1.10978,0.94145,1.24973,0.009175,0.009175,0.009175
27,3020.75,0.65238,0.49823,0.98358,0.59721,0.30512,0.35175,0.23043,1.10128,0.93367,1.24014,0.009142,0.009142,0.009142
28,3132.03,0.65346,0.49907,0.98198,0.48256,0.32764,0.35182,0.2303,1.09893,0.921,1.23479,0.009109,0.009109,0.009109
29,3244.22,0.63463,0.47997,0.97177,0.58039,0.33467,0.3627,0.23806,1.09777,0.90975,1.23486,0.009076,0.009076,0.009076
30,3355.49,0.6332,0.48356,0.97418,0.77915,0.30144,0.35529,0.23702,1.09123,0.91159,1.23686,0.009043,0.009043,0.009043
31,3467.65,0.62595,0.47596,0.96844,0.69389,0.3069,0.35544,0.23718,1.07935,0.90465,1.22299,0.00901,0.00901,0.00901
32,3579.06,0.61824,0.47225,0.96312,0.71564,0.32652,0.36489,0.24126,1.07805,0.89201,1.22142,0.008977,0.008977,0.008977
33,3691.18,0.61344,0.46785,0.9647,0.75539,0.34021,0.37598,0.24607,1.07755,0.88178,1.21764,0.008944,0.008944,0.008944
34,3802.35,0.6049,0.46331,0.96188,0.4979,0.34219,0.37773,0.2469,1.06988,0.88174,1.21923,0.008911,0.008911,0.008911
35,3914.41,0.60058,0.46037,0.96037,0.70978,0.3333,0.37777,0.24966,1.06715,0.86838,1.21807,0.008878,0.008878,0.008878
36,4025.56,0.59661,0.45361,0.95808,0.64551,0.33985,0.3671,0.24406,1.06926,0.87945,1.21931,0.008845,0.008845,0.008845
37,4137.63,0.58622,0.44311,0.9483,0.50769,0.35605,0.37865,0.25102,1.0575,0.86809,1.2074,0.008812,0.008812,0.008812
38,4248.93,0.58739,0.44784,0.95223,0.63735,0.34738,0.38295,0.25454,1.05564,0.85104,1.20533,0.008779,0.008779,0.008779
39,4361.12,0.57765,0.43817,0.94696,0.79579,0.34047,0.39806,0.26191,1.03732,0.83008,1.19353,0.008746,0.008746,0.008746
40,4472.36,0.57396,0.43867,0.94464,0.49439,0.36755,0.39922,0.26513,1.04147,0.82615,1.19287,0.008713,0.008713,0.008713
41,4584.39,0.57094,0.43289,0.94282,0.66522,0.35979,0.39398,0.26629,1.03304,0.82489,1.19376,0.00868,0.00868,0.00868
42,4695.62,0.56724,0.42803,0.93756,0.47477,0.35999,0.3967,0.26825,1.03461,0.8326,1.18484,0.008647,0.008647,0.008647
43,4807.79,0.55458,0.42035,0.93291,0.68934,0.34902,0.38953,0.26206,1.03872,0.83391,1.19244,0.008614,0.008614,0.008614
44,4918.85,0.56073,0.42477,0.93675,0.44293,0.36566,0.39428,0.26329,1.03111,0.81338,1.19091,0.008581,0.008581,0.008581
45,5031.03,0.54515,0.41571,0.93028,0.66938,0.37614,0.39569,0.26292,1.03454,0.82631,1.19183,0.008548,0.008548,0.008548
46,5142.23,0.55082,0.41845,0.93262,0.72729,0.35211,0.39766,0.26607,1.04047,0.81636,1.19112,0.008515,0.008515,0.008515
47,5254.36,0.54446,0.41299,0.92937,0.49293,0.3665,0.40367,0.26913,1.02508,0.8051,1.17951,0.008482,0.008482,0.008482
